placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Fryerstown,9939657848407636,"Streetscapes, Fryerstown, Victoria.",[between 1900 and 1910?],1900,1910,IE20671694,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671694:FL20804208.jpg
Fryerstown,9939654366107636,"Streetscapes, Fryerstown, Victoria.",[between 1900 and 1910?],1900,1910,IE20670719,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670719:FL20801030.jpg
Fryerstown,9939661456307636,"The Bridge Inn, corner of Castlemaine Street and South Parade, Fryerstown, Victoria.",1880/1917,1880,1917,IE20671529,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671529:FL20803100.jpg
Fryerstown,9939656693307636,"The Bridge Inn, Fryerstown, Victoria.",1897/1917,1897,1917,IE20671594,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671594:FL20803530.jpg
Fryerstown,9937232283607636,"Streetscape showing Corner Hotel and Bridge Inn, Fryerstown, Victoria.",[between 1900 and 1914?],1900,1914,IE20811773,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20811773:FL20812234.jpg
Fryerstown,9937232143607636,"Corner Hotel, corner of Castlemaine and High Streets, Fryerstown, Victoria.",[between 1900 and 1914?],1900,1914,IE20670479,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670479:FL20802744.jpg
Fryerstown,9937217283607636,"Nuggetty Hotel, Fryerstown, Victoria.",[between 1870 and 1910?],1870,1910,IE20671444,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671444:FL20802536.jpg
Fryerstown,9940097662807636,"Men and horse drawn vehicles in countryside, Fryerstown area, Victoria.",[between 1870 and 1910],1870,1910,IE20670909,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670909:FL20802282.jpg
Fryerstown,9939669217107636,"Street scenes in Fryerstown, Victoria.",1867,1867,1867,IE20670039,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670039:FL20803384.jpg
Fryerstown,9939656693707636,"Portraits of men, possibly earlier settlers in Fryerstown area, Victoria.",1887/1913,1887,1913,IE20671554,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671554:FL20803262.jpg
Fryerstown,9939656152107636,"Portraits of men, possibly earlier settlers in Fryerstown area, Victoria.",1887/1913,1887,1913,IE20671349,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671349:FL20801926.jpg
Fryerstown,9939648783507636,"Street scenes in Fryerstown, Victoria.",[between 1890 and 1901?],1890,1901,IE20671459,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20671459:FL20802634.jpg
Fryerstown,9939648661807636,"Portraits of men, possibly earlier settlers in Fryerstown area, Victoria.",[between 1900 and 1910?],1900,1910,IE20670134,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670134:FL20804010.jpg
Fryerstown,9939648661707636,"Portraits of men, possibly earlier settlers in Fryerstown area, Victoria.",1887/1913,1887,1913,IE20670139,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670139:FL20804032.jpg
Fryerstown,9937227023607636,"Men playing bowls or quoits in bush setting, possibly Fryerstown.",[between 1900 and 1910?],1900,1910,IE20672099,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20672099:FL20803594.jpg
Fryerstown,9937226983607636,"Photograph album, Fryerstown area, Victoria.",[1892?],1892,1892,IE20670274,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE20670274:FL20801404.jpg
